,index,Count
2087,FUNCTIONS  CONTRACT  TECHNICAL,3
2088,FUNDING  CEILING  TASK,3
2089,TASK  ORDER  AVE.,3
2090,ACTION  FUNDS,3
2091,FIRE,3
2092,REGION  10,3
2093,SITE  ALL,3
2094,PERIOD  FUNDS  AMOUNT,3
2095,INCREMENTAL  AMOUNT,3
2096,SITE  FUNDING  ASSESSMENT,3
2097,FUNDING  ASSESSMENT  ACTIVITIES,3
2098,FUNDING  ASSESSMENT,3
2099,30  CEILING,3
2100,EP-B15H-00001,3
2101,SITE  OVERSIGHT,3
2102,ORDER  SUPPORT  SERVICES,3
2103,HARDWARE  ORDER,3
2104,HARDWARE  ORDER  ORDER,3
2105,AMOUNT  $100000.00,3
2106,REGION  SITE,3
2107,SITE  DETROIT,3
2108,REMOVAL  SITE  DETROIT,3
2109,ORDER  EP-B15H-00001,3
2110,TECHNICAL  SUPPORT  INCREMENTAL,3
2111,REGION  OVERSIGHT  TECHNICAL,3
2112,$100000.00,3
2113,ENVIRONMENTAL  NATIONAL  QUALITY,3
2114,METHODS,3
2115,RESPONSE  INCREMENTAL,3
2116,MONITORING  CONTRACT,3
2117,PROJECT  JOHNSTON,3
2118,TASK  ORDER  PROJECT,3
2119,ORDER  REVIEW,3
2120,ORDER  REVIEW  CONTRACT,3
2121,PERIOD  30  30,3
2122,REVIEW  CONTRACT,3
2123,TASK  ORDER  REVIEW,3
2124,CENTER  MEADE,3
2125,DATA  ACTIVITIES,3
2126,$250000,3
2127,(NCEA)  OFFICE  RESEARCH,3
2128,(NCEA)  OFFICE,3
2129,NATIONAL  QUALITY  WORK,3
2130,WOODSTOCK,3
2131,SPILL  WOODSTOCK,3
2132,TASK  ORDER  EMERGENCY,3
2133,SERVICES  PERIOD,3
2134,SERVICES  PERIOD  PERIOD,3
2135,NATIONAL  QUALITY,3
2136,ORDER  EMERGENCY  RESPONSE,3
2137,ORDER  EMERGENCY,3
2138,START  REGION  OVERSIGHT,3
2139,ORDER  ORDER  EP-B15H-00001,3
2140,SUPERFUND  SITE  FUNDING,3
2141,ORDER  ROCK  PURPOSE,3
2142,CONTRACT  SUPPORT  OFFICE,3
2143,FUNDING  AMOUNT  $300000.00.,3
2144,AMOUNT  $300000.00.,3
2145,$300000.00.,3
2146,ORDER  WATER,3
2147,$600000.00.,3
2148,TASK  ORDER  WATER,3
2149,EMERGENCY  MANAGEMENT,3
2150,$500000.00.,3
2151,AMOUNT  $120000.00.,3
2152,TECHNICAL  ASSESSMENT  SUPPORT,3
2153,ASSOCIATED  TECHNICAL  ASSESSMENT,3
2154,ASSESSMENT  SUPPORT  WATER,3
2155,RESEARCH  TASK,3
2156,SERVICE  RESEARCH  TASK,3
2157,$120000.00.,3
2158,FUNCTIONS  DEVELOPMENT  ADMINISTRATION,3
2159,FUNCTIONS  DEVELOPMENT,3
2160,DEVELOPMENT  ADMINISTRATION  SERVICES,3
2161,DEVELOPMENT  ADMINISTRATION,3
2162,ADMINISTRATION  SERVICES,3
2163,ORDER  ROCK,3
2164,DIVISION  OFFICE,3
2165,START  SUPPORT  INCREMENTAL,3
2166,CONTRACT  EP-C-13-022,3
2167,EP-C-13-022,3
2168,REMOVAL  INCREMENTAL,3
2169,START  ACTIVITIES  MODIFICATION,3
2170,START  ACTIVITIES,3
2171,ACTIVITIES  MODIFICATION,3
2172,START  SITE  ASSESSMENT,3
2173,AMOUNT  $350000.00,3
2174,WATER  SYSTEM,3
2175,SUPPORT  HARDWARE  ORDER,3
2176,$350000.00,3
2177,SUPPORT  OFFICE  DIVISION,3
2178,OFFICE  DIVISION  OFFICE,3
2179,$200000,3
2180,FUNDING  CONTRACTOR,3
2181,OFFICE  DIVISION,3
2182,TASK  ORDER  ROCK,3
2183,ROCK  PURPOSE  ACTION,3
2184,ROCK  PURPOSE,3
2185,ROCK,3
2186,PURPOSE  ACTION  AMOUNT,3
2187,REGION  MODIFICATION  PROVIDE,3
2188,ORDER  PROJECT  JOHNSTON,3
2189,ORDER  PROJECT,3
2190,JOHNSTON,3
2191,CONTRACT  FUNDED  CONTRACTOR,3
2192,CONTRACT  FUNDED,3
2193,REGION  SUPPORT  CONTRACT,3
2194,SUPPORT  SERVICES  ORDER,3
2195,PROGRAM  TECHNICAL,3
2196,SERVICES  ORDER  FUNDING,3
2197,PROGRAM  TECHNICAL  ASSISTANCE,3
2198,INCREMENTAL  FUNDING  ORDER,3
2199,CONTRACTOR  SUPPORT  DEVELOPMENT,3
2200,ORDER  SERVICES  TASK,3
2201,EPA  RESEARCH  PARK,3
2202,ORDER  AVE.  WASHINGTON,3
2203,MODIFICATION  WORK  REGION,3
2204,ACTION  CONTRACT  SUPERFUND,3
2205,PERIOD  PERFORMANCE  31,3
2206,SERVICES  ENVIRONMENTAL  OFFICE,3
2207,ALL  ASSOCIATED,3
2208,ORDER  AVE.,3
2209,PERIOD  SUPPORT,3
2210,SITE  RESPONSE,3
2211,AVE.  WASHINGTON,3
2212,UPDATE  PROGRAM,3
2213,ORDER  SUPPORT  TECHNICAL,3
2214,FUNDED,3
2215,OPTION  SERVICES  PERIOD,3
2216,FUNDED  CONTRACTOR,3
2217,REGION  SUPERFUND  INFORMATION,3
2218,SUPERFUND  ALL,3
2219,EP-W-09-038,3
2220,ORDER  CONTRACT  PURPOSE,3
2221,EP-W-09-038  TASK,3
2222,EP-W-09-038  TASK  ORDER,3
2223,SYSTEM  WATER  QUALITY,3
2224,SUPPORT  ASSESSMENT  SYSTEM,3
2225,ASSESSMENT  SYSTEM  WATER,3
2226,$450000.00,3
2227,WORK  TASK  RESEARCH,3
2228,TASK  RESEARCH  METHODS,3
2229,ASSESSMENT  SYSTEM,3
2230,$30000,3
2231,TASK  RESEARCH,3
2232,CHEMICAL,3
2233,TASK  PROVIDE,3
2234,PERFORMANCE  PERFORMANCE,3
2235,PERIOD  1  31,3
2236,FUNDED  CONTRACTOR  CONTRACT,3
2237,ORDER  ENTITLED,3
2238,ASSESSMENT  EFFECTS,3
2239,EFFECTS,3
2240,SUPPORT  ASSESSMENT  EFFECTS,3
2241,SUPPORT  ENVIRONMENTAL  MANAGEMENT,3
2242,INFORMATION  UPDATE  PROGRAM,3
2243,INFORMATION  UPDATE,3
2244,OVERSIGHT  MODIFICATION,3
2245,DEVELOPMENT  INFORMATION  UPDATE,3
2246,ORDER  ENVIRONMENTAL  NATIONAL,3
2247,FUNDS  REMEDIAL  ACTION,3
2248,FUNDS  REMEDIAL,3
2249,ORDER  PROVIDE  SERVICES,3
2250,PROGRAM  PROVIDE,3
2251,PROGRAM  PROVIDE  INCREMENTAL,3
2252,ENVIRONMENTAL  NATIONAL  CENTER,3
2253,REMEDIAL  ACTION  (LTRA),3
2254,ACTION  (LTRA),3
2255,(LTRA),3
2256,SUPPORT  QUALITY  DATA,3
2257,EXERCISE  OPTION  SERVICES,3
2258,QUALITY  DATA  ACTIVITIES,3
2259,SERVICES  ENVIRONMENTAL  CENTER,3
2260,MEADE,3
2261,ENVIRONMENTAL  CENTER  MEADE,3
2262,ASSESSMENT  (NCEA)  OFFICE,3
2263,ORDER  MONITORING  CONTRACT,3
2264,QUALITY  WORK,3
2265,QUALITY  WORK  TASK,3
2266,ORDER  SUPPORT  ENERGY,3
2267,RESEARCH  METHODS,3
2268,AVE.,3
2269,START  4,3
2270,REMOVAL  TASK  ORDER,3
2271,REGION  MODIFICATION  INCREMENTAL,3
2272,UPDATE,3
2273,START  TECHNICAL,3
2274,START  TECHNICAL  SUPPORT,3
2275,TECHNICAL  TASK,3
2276,SITE  REMOVAL,3
2277,SERVICES  ENVIRONMENTAL  NATIONAL,3
2278,ACTION  SUPERFUND,3
2279,ANALYSIS  WATER  QUALITY,3
2280,ATLANTIC,3
2281,MODIFICATION  INCREMENTAL  OPTION,3
2282,INCREMENTAL  FUNDING  EMERGENCY,3
2283,INCREMENTAL  FUNDING  SITE,3
2284,SITE  ATLANTIC,3
2285,CEILING  ALL  TERMS,3
2286,CEILING  ALL,3
2287,POLICY  ANALYTIC  RESEARCH,3
2288,REMEDIAL  ASSESSMENT  SUPPORT,3
2289,NATIONAL  PROGRAM  SUPPORT,3
2290,SYSTEMS  PERFORMANCE,3
2291,OPTION  PERIOD  OFFICE,3
2292,MODIFICATION  MODIFICATION  FUNDING,3
2293,PERIOD  OFFICE,3
2294,PERIOD  PERFORMANCE  CEILING,3
2295,OVERSIGHT  CONTRACT,3
2296,PERIOD  6  MODIFICATION,3
2297,TECHNICAL  SYSTEMS  PERFORMANCE,3
2298,TECHNICAL  SYSTEMS,3
2299,PERFORMANCE  CEILING,3
2300,MAINTENANCE  CIRCUMSTANCES  MANUFACTURERS,3
2301,SITE  ACTIVITIES,3
2302,SERVICES  MODIFICATION  MODIFICATION,3
2303,OFFICE  ANALYTICAL,3
2304,UPDATES,3
2305,SUPPORT  ALL,3
2306,CONTRACT  REGION  MARSHALL,3
2307,PROGRAM  FUNCTIONS,3
2308,TASK  ORDER  #0206,3
2309,MODIFICATION  $9642105.00  $289393.00,3
2310,TECHNOLOGIES,3
2311,$289393.00,3
2312,$9931498.00.,3
2313,$289393.00  $9931498.00.,3
2314,$289393.00  OPTION,3
2315,$289393.00  OPTION  PERIOD,3
2316,IGF::OT::IGF,3
2317,$9642105.00,3
2318,$9642105.00  $289393.00,3
2319,$9642105.00  $289393.00  $9931498.00.,3
2320,TASK  ORDER  MANAGEMENT,3
2321,6  MODIFICATION,3
2322,MODIFICATION  $9642105.00,3
2323,6  MODIFICATION  $9642105.00,3
2324,EPA  SYSTEM,3
2325,AMOUNT  $289393.00,3
2326,MAINTENANCE  CIRCUMSTANCES,3
2327,AMOUNT  $289393.00  OPTION,3
2328,TESTING  TECHNICAL  SYSTEMS,3
2329,TESTING  TECHNICAL,3
2330,FUNDING  AMOUNT  $289393.00,3
2331,ORDER  #0206  SUPPORT,3
2332,ORDER  #0206,3
2333,#0206  SUPPORT  ENERGY,3
2334,GM-BEDFORD  BEDFORD  INDIANA,3
2335,BEDFORD  INDIANA  ADDITIONAL,3
2336,COOPERATIVE  LLC,3
2337,COOPERATIVE  LLC  VERNON,3
2338,FOUNDRY,3
2339,FOUNDRY  MANSFIELD,3
2340,FOUNDRY  MANSFIELD  OH,3
2341,GM-BEDFORD,3
2342,GM-BEDFORD  BEDFORD,3
2343,IN,3
2344,#0206  SUPPORT,3
2345,IN  GM-BEDFORD,3
2346,IN  GM-BEDFORD  BEDFORD,3
2347,ANALYSIS  SERVICES,3
2348,INDIANA,3
2349,CONTRACT  PERIOD  CONTRACT,3
2350,MODIFICATION  AWARD,3
2351,REGION  MARSHALL,3
2352,INDIANA  ADDITIONAL,3
2353,INFORMATION  OPERATIONS,3
2354,BEDFORD  INDIANA,3
2355,SUPPORT  EPA  ACTIVITIES,3
2356,EPA  ACTIVITIES,3
2357,MARSHALL,3
2358,OFFICE  EMERGENCY  RESPONSE,3
2359,#0206,3
2360,WATER  PROGRAM  FUNCTIONS,3
2361,REGION  EXERCISE,3
2362,OPERATIONS  MAINTENANCE&DEVELOPMENT  MANAGEMENT,3
2363,EPA  OPERATIONS  RTP,3
2364,REGION  FUNDING  MODIFICATION,3
2365,OPERATIONS  MAINTENANCE&DEVELOPMENT,3
2366,OPERATIONS  RTP,3
2367,MAINTENANCE&DEVELOPMENT  MANAGEMENT  OFFICE,3
2368,SERVICES  SERVICES  CONTRACT,3
2369,MAINTENANCE&DEVELOPMENT  MANAGEMENT,3
2370,MAINTENANCE&DEVELOPMENT,3
2371,REGION  PURPOSE  MODIFICATION,3
2372,INFORMATION  OPERATIONS  MAINTENANCE&DEVELOPMENT,3
2373,ACTION  SUPPORT  FOUNDRY,3
2374,REGION  MONITORING,3
2375,SPRINGFIELD,3
2376,LLC  VERNON  IN,3
2377,MANAGEMENT  SUPPORT  PURPOSE,3
2378,GROUP,3
2379,6  7  9,3
2380,7  9,3
2381,MODIFICATION  CONTRACT  INCREMENTAL,3
2382,MONITORING  MODIFICATION,3
2383,DATA  MANAGEMENT  MODIFICATION,3
2384,ENVIRONMENTAL  RESEARCH  CENTER,3
2385,7  9  ALABAMA,3
2386,SUPERFUND  INFORMATION  SUPPORT,3
2387,ORDER  REMOVAL  SERVICES,3
2388,CIRCUMSTANCES  MANUFACTURERS  MONITORING,3
2389,9  ALABAMA,3
2390,OBLIGATE  FUNDING  TASK,3
2391,MONITORING  ASSISTANCE,3
2392,ALABAMA,3
2393,ICP,3
2394,QUALITY  OBLIGATE  FUNDS,3
2395,ANALYSIS  SYSTEM,3
2396,REMOVAL  SERVICES,3
2397,MANAGEMENT  SUPPORT  MODIFICATION,3
2398,QUALITY  TECHNICAL  SUPPORT,3
2399,NANOTECHNOLOGIES,3
2400,INCREMENTAL  FUNDING  RESPONSE,3
2401,FUNDING  RESPONSE  ACTION,3
2402,DEVELOPMENT  MAINTENANCE  IGF::CLCT::IGF,3
2403,MAINTENANCE  IGF::CLCT::IGF,3
2404,MAINTENANCE  IGF::CLCT::IGF  TASK,3
2405,DEVELOPMENT  NANOTECHNOLOGIES,3
2406,CIRCUMSTANCES  MANUFACTURERS,3
2407,DEVELOPMENT  NANOTECHNOLOGIES  QC'ING,3
2408,NANOTECHNOLOGIES  QC'ING,3
2409,AWARD  PERIOD,3
2410,NANOTECHNOLOGIES  QC'ING  RESPONSE,3
2411,QC'ING,3
2412,QC'ING  RESPONSE,3
2413,MAINTENANCE  SERVICE,3
2414,SERVICES  MODIFICATION  EXERCISE,3
2415,CIRCUMSTANCES,3
2416,EPA  SUPPORT  NEWPORT,3
2417,SUPPORT  NEWPORT,3
2418,QUALITY  OBLIGATE,3
2419,DATA  QUALITY  OBLIGATE,3
2420,OPTION  EXERCISE,3
2421,PERFORMANCE  WORK  OPTION,3
2422,MARKETS,3
2423,SITE  INFORMATION  ENERGY,3
2424,REMEDIAL  ASSESSMENT,3
2425,(ORD)  NATIONAL  RESEARCH,3
2426,CONTRACT  NEWPORT,3
2427,PROVIDE  EPA  ATHENS,3
2428,REGION  ENERGY,3
2429,EPA  REGION  ENERGY,3
2430,PERIOD  MODIFICATION,3
2431,DEVELOPMENT  NATIONAL  RESEARCH,3
2432,SERVICES  CONTRACT  NEWPORT,3
2433,SYSTEM  MODIFICATION,3
2434,ENERGY  PROGRAM  NATIONAL,3
2435,ENERGY  PROGRAM,3
2436,ORDER  PROVIDE  SITE,3
2437,DEVELOPMENT  ORDER,3
2438,SITE  INCREMENTAL,3
2439,SITE  INCREMENTAL  FUNDING,3
2440,PERIOD  OBLIGATE  FUNDING,3
2441,ORDER  CONTRACTOR  FUNDING,3
2442,OPERATIONS  MODIFICATION,3
2443,SITE  SUPPORT  SERVICES,3
2444,SUPPORT  MARKETS,3
2445,CONDITIONS  REMAIN  ORDER,3
2446,PROGRAM  SUPPORT  MARKETS,3
2447,RESEARCH  DEVELOPMENT  NATIONAL,3
2448,EPA  ORDER,3
2449,PROGRAM  NATIONAL  PROGRAM,3
2450,INFORMATION  ENERGY,3
2451,REMAIN  ORDER,3
2452,SUPPORT  EPA  OVERSIGHT,3
2453,ORDER  FUNDS  CONTRACTOR,3
2454,FUNDS  CONTRACTOR  SERVICES,3
2455,BASE  COUNTY,3
2456,REGION  OFFICE,3
2457,INFORMATION  ENERGY  STAR,3
2458,CONTRACT  IGF::CLCT::IGF,3
2459,PROGRAM  PROGRAM,3
2460,SITE  REGION,3
2461,LLC  VERNON,3
2462,COOPERATIVE,3
2463,ANALYSIS  INFORMATION  DEVELOPMENT,3
2464,ANALYTIC  RESEARCH,3
2465,RESEARCH  (NHEERL)  OFFICE,3
2466,RESEARCH  (NHEERL),3
2467,BREEZE,3
2468,NVFEL,3
2469,ORDER  SUPPORT  PURPOSE,3
2470,NVFEL  ARBOR,3
2471,REGION  CONTRACT,3
2472,RESPONSE  PROGRAM,3
2473,SUPPORT  REGION  CENTER,3
2474,ENVIRONMENTAL  RESEARCH  (NHEERL),3
2475,ENVIRONMENTAL  RESPONSE  PROGRAM,3
2476,(NHEERL)  OFFICE  RESEARCH,3
2477,(NHEERL)  OFFICE,3
2478,(NHEERL),3
2479,8,3
2480,MAIL  SERVICES,3
2481,STATES,3
2482,MAIL,3
2483,DEVELOP,3
2484,ANALYSIS  EPA  OFFICE,3
2485,ORDER  QUALITY  TECHNICAL,3
2486,1  31  IGF::CLCT::IGF,3
2487,TECHNICAL  ASSISTANCE  DEVELOPMENT,3
2488,(NRMRL),3
2489,AWARD  INFORMATION,3
2490,CLOSELY  ASSOCIATED  SUPPORT,3
2491,SUPPORT  PROGRAM  DEVELOPMENT,3
2492,31  IGF::CLCT::IGF,3
2493,ANALYSIS  INFORMATION,3
2494,EPA  FACILITY,3
2495,CENTER  LAKEWOOD,3
2496,#0211,3
2497,PRODUCTS  ENVIRONMENTAL,3
2498,PROVIDE  SUPPORT  EPA,3
2499,SUPPORT  DEVELOPMENT  ANALYSIS,3
2500,OFFICE  RESEARCH&DEVELOPMENT  NATIONAL,3
2501,INFORMATION  DEVELOPMENT  DESIGN,3
2502,INFORMATION  DEVELOPMENT,3
2503,RESEARCH  LABORATORY,3
2504,DEVELOPMENT  DESIGN  PRODUCTS,3
2505,MANAGEMENT  RESEARCH  LABORATORY,3
2506,RESEARCH&DEVELOPMENT  NATIONAL,3
2507,RESEARCH&DEVELOPMENT  NATIONAL  MANAGEMENT,3
2508,EPA  NVFEL,3
2509,DEVELOPMENT  DESIGN,3
2510,PERIOD  PURPOSE  ORDER,3
2511,WELSBACH,3
2512,DEVELOPMENT  ANALYSIS  INFORMATION,3
2513,ANALYTIC,3
2514,DEVELOPMENT  ANALYSIS,3
2515,#0211  POLICY  ANALYTIC,3
2516,EPA  NVFEL  ARBOR,3
2517,DESIGN  PRODUCTS  ENVIRONMENTAL,3
2518,DESIGN  PRODUCTS,3
2519,#0211  POLICY,3
2520,MANSFIELD  OH,3
2521,B  EPA  RTP,3
2522,B  EPA,3
2523,HILL,3
2524,ASSOCIATED  SUPPORT,3
2525,ACTION  FUNDING  AMOUNT,3
2526,REGION  MODIFICATION  FUNDING,3
2527,VERNON  IN  GM-BEDFORD,3
2528,TECHNICAL  ACTIVITIES,3
2529,TASK  ORDER#307  TECHNICAL,3
2530,ASSESSMENT  SUPPORT  CONTRACT,3
2531,SUPERFUND  SITE  SUPPORT,3
2532,MAINTENANCE  SERVICES  MODIFICATION,3
2533,TASK  ORDER#307,3
2534,ORDER#307  TECHNICAL  ACTIVITIES,3
2535,ORDER#307  TECHNICAL,3
2536,ORDER#307,3
2537,SERVICES  SUPPORT  WORK,3
2538,ENERGY  STAR  ENERGY,3
2539,SUPPORT  WORK  NATIONAL,3
2540,SITE  PROPERTIES,3
2541,ANALYTIC  RESEARCH  SUPPORT,3
2542,CONTRACT#EP-BPA-11-H-0337  TASK  ORDER#307,3
2543,TECHNICAL  ACTIVITIES  ENERGY,3
2544,PERIOD  CONTRACT  OPTION,3
2545,VERNON  IN,3
2546,VERNON,3
2547,SUPPORT  FOUNDRY  MANSFIELD,3
2548,SUPPORT  FOUNDRY,3
2549,OH  COOPERATIVE  LLC,3
2550,PERFORMANCE  PERIOD  CONTRACT,3
2551,ACTIVITIES  ENERGY  STAR,3
2552,ADDITIONAL  EPA,3
2553,ACTIVITIES  ENERGY,3
2554,OH  COOPERATIVE,3
2555,MANSFIELD  OH  COOPERATIVE,3
2556,SUPPORT  OPERATIONS  MODIFICATION,3
2557,POLICY  ANALYTIC,3
2558,SERVICE  MAINTENANCE,3
2559,PRODUCTS  ENVIRONMENTAL  QUALITY,3
2560,MANUFACTURERS,3
2561,STAR  ENERGY,3
2562,FUNCTIONS  QUALITY,3
2563,RESULT  AMOUNT,3
2564,BUFFALO,3
2565,MODIFICATION  EXERCISE  CONTRACT,3
2566,QUALITY  SUPPORT  PROGRAM,3
2567,AWARD  INFORMATION  SUPPORT,3
2568,FUNCTIONS  QUALITY  SUPPORT,3
2569,II  III  REMAIN,3
2570,II  III  IV,3
2571,RESEARCH  (NRMRL),3
2572,(ORD)  NATIONAL  MANAGEMENT,3
2573,ORDER  SUPPORT  TASK,3
2574,ORDER  #0008,2
2575,PERFORMANCE  2,2
2576,SUPPORT  PROGRAM  MONITORING,2
2577,CONTRACT  RO,2
2578,ADDITIONALLY  FUNDS  OPTION,2
2579,PROGRAM  MONITORING  DATA,2
2580,ATLANTIC  CONTRACT,2
2581,TERMS  CONDITIONS  ORDER,2
2582,CONTRACT  EPA  REGION,2
2583,CONTRACT  RO  STC,2
2584,SITE  CHICAGO,2
2585,FUNDING  SERVICE,2
2586,WATER  QUALITY  MANAGEMENT,2
2587,ORDER  #0008  FUNDING,2
2588,($28999.12),2
2589,ACTION  SITE  COUNTY,2
2590,SUPPORT  FUNDING  SERVICE,2
2591,ORDER  WATER  REMOVAL,2
2592,SUPPORT  SUPERFUND  PURPOSE,2
2593,CONTRACTOR  INFORMATION,2
2594,ASSISTANCE  WATER,2
2595,AMOUNT  $350000.00  ALL,2
2596,#0008,2
2597,PROVIDE  OBLIGATE  INCREMENTAL,2
2598,WATER  REMOVAL,2
2599,MODIFICATION  PURPOSE  MODIFICATION,2
2600,ACTION  SITE  ATLANTIC,2
2601,PERIOD  $4854820.72.,2
2602,PERIOD  $4660000.00.,2
2603,FUNDING  AMOUNT  $1060000.00;,2
2604,OPTION  PERIOD  $4854820.72.,2
2605,SITE  ATLANTIC  CONTRACT,2
2606,ATLANTIC  CONTRACT  TASK,2
2607,DEVELOPMENT  SUPPORT  MAINTENANCE,2
2608,ALL  SUPPORT  SUPPORT,2
2609,CONTRACT  TERMS,2
2610,SITE  SUPPORT  TASK,2
2611,MEMBERS  NETWORK,2
2612,PROVIDE  OBLIGATE,2
2613,MODIFICATION  PROVIDE  OBLIGATE,2
2614,ALL  SUPPORT,2
2615,#0008  FUNDING,2
2616,REMOVAL  CONTRACT,2
2617,OPTION  PERIOD  $4660000.00.,2
2618,$4660000.00.  TASK,2
2619,CREEK,2
2620,$1060000.00;  AMOUNT,2
2621,CONDITIONS  ORDER,2
2622,IRISISA,2
2623,GOVERNMENTS  SECTOR  MEMBERS,2
2624,FUNCTIONS  MODIFICATION  EXERCISE,2
2625,CARTHAGE,2
2626,02QF  CARTHAGE,2
2627,02QF,2
2628,EP-C-13-022  38,2
2629,PERIOD  $4854820.72.  ADDITIONALLY,2
2630,SITE  CONTRACT  TASK,2
2631,PERIOD  PERFORMANCE  2,2
2632,GOVERNMENTS  SECTOR,2
2633,GOVERNMENTS,2
2634,DEVELOPMENT  IRISISA  CONTRACT,2
2635,02,2
2636,$4854820.72.  ADDITIONALLY  FUNDS,2
2637,IRISISA  CONTRACT,2
2638,CONTRACT  FUNCTIONS  MODIFICATION,2
2639,$1060000.00;,2
2640,$350000.00  ALL  TASK,2
2641,$4660000.00.,2
2642,$1060000.00;  AMOUNT  CONTRACT,2
2643,$4854820.72.  ADDITIONALLY,2
2644,$4854820.72.,2
2645,SYSTEM  SITE  SITE,2
2646,SYSTEM  SITE,2
2647,IRISISA  CONTRACT  EP-C-13-022,2
2648,$350000.00  ALL,2
2649,#0004  EMERGENCY  FUNDING,2
2650,SITE  SITE  02QF,2
2651,$4660000.00.  TASK  ORDER,2
2652,SITE  02QF  CARTHAGE,2
2653,SITE  02QF,2
2654,ORDER  AWARD  TECHNICAL,2
2655,AMOUNT  $1060000.00;,2
2656,AMOUNT  $1060000.00;  AMOUNT,2
2657,02  TAO,2
2658,AWARD  TECHNICAL  SUPPORT,2
2659,SUPERFUND  PURPOSE  MODIFICATION,2
2660,EFFICIENT,2
2661,CONTRACT  02,2
2662,PROGRAM  QUALITY,2
2663,CONTRACT  02  TAO,2
2664,SERVICES  SUPPORT  NATIONAL,2
2665,CONTRACT  EP-C-13-022  38,2
2666,TAO,2
2667,38,2
2668,CONTRACT  ERLLC  PROVIDE,2
2669,DEVELOPMENT  IRISISA,2
2670,ERLLC  PROVIDE,2
2671,SUPERFUND  PURPOSE,2
2672,ERLLC  PROVIDE  INCREMENTAL,2
2673,SIMPLE,2
2674,FUNDING  SITE  COUNTY,2
2675,SIMPLE  EFFICIENT,2
2676,MEMBERS,2
2677,ENVIRONMENTAL  REGION,2
2678,PERIOD  AMOUNT  $350000.00,2
2679,ADDITIONALLY  FUNDS,2
2680,RO  STC  LOCAL,2
2681,SUPPORT  FACILITIES,2
2682,OPERATIONS  TASK  ORDER,2
2683,AWARD  TECHNICAL,2
2684,PROVIDE  SUPPORT  FACILITIES,2
2685,STC  LOCAL  DATA,2
2686,STC  LOCAL,2
2687,STC,2
2688,RO  STC,2
2689,SERVICES  EPA  SYSTEM,2
2690,RTI,2
2691,RO,2
2692,REGION  CONTRACT  RO,2
2693,CONDITIONS  ORDER  REMAIN,2
2694,LOCAL  DATA,2
2695,OPERATIONS  TASK,2
2696,LOCAL,2
2697,TASK  ORDER  #0008,2
2698,QUOTE,2
2699,EMERGENCY  FUNDING,2
2700,EPA  AWARD,2
2701,SUPPORT)  PROGRAM,2
2702,SUPPORT)  PROGRAM  DIRECTORY,2
2703,MAINTENANCE  CONTRACT  MODIFICATION,2
2704,SERVICES  OFFICE  WATER,2
2705,010,2
2706,ADDITIONAL  AMOUNT,2
2707,$100000.,2
2708,$498395,2
2709,ASSISTANCE  RESEARCH,2
2710,ASSISTANCE  RESEARCH  $498395,2
2711,WORK  PERFORMANCE  WORK,2
2712,AWARD  $100000.,2
2713,EPA  AWARD  $100000.,2
2714,MONITORING  SUPPORT,2
2715,CENTER  MODIFICATION  FUNDING,2
2716,REGION  CENTER  MODIFICATION,2
2717,REGION  SUPERFUND  CENTER,2
2718,SUPERFUND  CENTER,2
2719,DATA  VALIDATION,2
2720,MONITORING  ASSISTANCE  RESEARCH,2
2721,DATA  INFORMATION,2
2722,ADDITIONAL  FUNDS  OPTION,2
2723,FUNCTIONS  ADDITIONAL,2
2724,FUNCTIONS  ADDITIONAL  FUNDS,2
2725,RESEARCH  $498395,2
2726,UPDATE  PROGRAM  PLANNING,2
2727,SUPPORT),2
2728,SUPPORT  SERVICES  OFFICE,2
2729,SUPPORT  SUPPORT  DIRECTORY,2
2730,PROPERTIES  SOUTH,2
2731,SUPPORT  DEVELOPMENT  SUPPORT),2
2732,FUNCTIONS  SITE,2
2733,RESEARCH  SUPPORT  SERVICES,2
2734,SUPPORT  DIRECTORY,2
2735,SUPPORT  DIRECTORY  ETC.),2
2736,SUPPORT  MANAGEMENT  (TAM),2
2737,SUPPORT  MGR.ETC),2
2738,SUPPORT  EPA  PROGRAM,2
2739,MANAGEMENT  RESEARCH  SUPPORT,2
2740,MANAGEMENT  SUPERFUND  SITE,2
2741,MANAGEMENT  SUPERFUND,2
2742,DEVELOPMENT  MANAGEMENT  RESEARCH,2
2743,LOGISTICAL,2
2744,SUPPORT  MGR.ETC)  SUPPORT,2
2745,CONTRACT#EP-W-10-031  TO#408,2
2746,CONTRACT#EP-W-10-031  TO#408  SUPPORT,2
2747,ICF  CONTRACT#EP-W-10-031  TO#408,2
2748,TO#408,2
2749,TO#408  SUPPORT,2
2750,TO#408  SUPPORT  PROGRAM,2
2751,IGF::CLCT::IGF  MAINTENANCE,2
2752,VALIDATION,2
2753,SUPPORT  OFFICE  AMOUNT,2
2754,SUPERFUND  SITE  PROPERTIES,2
2755,SUPPORT  SUPPORT  DEVELOPMENT,2
2756,PROGRAM  PLANNING,2
2757,PLANNING,2
2758,$473209.00/4095  PROVIDE  SUPPORT,2
2759,FUNDING  REGION,2
2760,MODIFICATION  PROVIDE  ADDITIONAL,2
2761,STAR  PROGRAM  IGF::CLCT::IGF,2
2762,ORDER  ACTIVITIES  SITE,2
2763,PROVIDE  ADDITIONAL  FUNDING,2
2764,RESEARCH  GROUP,2
2765,SITE  FALLS,2
2766,PERSONNEL,2
