Product or Service Code,Product or Service Description,Contracting Agency Name,Contracting Department Name,Funding Agency Name,Principal Place of Performance City Name,Principal Place of Performance State Code,Principal Place of Performance Country Name,Signed Date,Extent Competed,Fair Opportunity/Limited Sources,Type of Contract,Description of Requirement,Vendor Name,PIID,Referenced  IDV PIID,DUNS Number,Action Obligation
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,7/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
EVR-WOOD TREATING/EVANGELINE REFINING RI/FS-PHASE 3 ISSUE AND FUND NEW TASK ORDER UNDER CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,120,EPW06004,69381812,"$515,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,7/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
UNITED CREOSOTING SUPERFUND SITE FOURTH FIVE YEAR REVIEW",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,119,EPW06004,69381812,"$43,998.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,7/17/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF

MACMILLAN RING FREE OIL RI NEW TASK ORDER INCREMENTAL FUNDING UNDER CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,118,EPW06004,69381812,"$280,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/20/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"DONNA CANAL&RESERVOIR SF SITE RI/FS TASK ORDER UNDER CONTRACT NO. EP-W-06-004-EA ENGINEERING, SCIENCE&TECHNOLOGY,INC.",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,82,EPW06004,69381812,"$200,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/20/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,IGF::OT::IGF,EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,91,EPW06004,69381812,"$67,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/20/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
VAN DER HORST GROUND WATER PLUME SF SITE REMEDIAL DESIGN INCREMENTAL FUNDING FOR NEW TASK ORDER CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,117,EPW06004,69381812,"$82,669.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/20/2015,,,TIME AND MATERIALS,SPRAGUE ROAD LTRA,EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,EP0007,EPW06004,69381812,"$542,340.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/28/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
ADMINISTRATIVE MODIFICATION",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,122,EPW06004,69381812,"$38,744.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,8/31/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
TEXARKANA WOOD LTRA TASK ORDER UNDER CONTRACT NO.EP-W-06-004 FUNDING",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,102,EPW06004,69381812,"$353,091.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/3/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
OUACHITA NEVADA 2ND FIVE YEAR REIEW UNDER CONTRACT NO. EP-W-06-004-NEW TASK ORDER FUNDING",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,124,EPW06004,69381812,"$38,099.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/3/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
POPILE, INC. SF SITE 3RD FIVE YEAR REVIEW-NEW TASK ORDER FUNDING-CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,123,EPW06004,69381812,"$37,888.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/4/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
CRYSTAL CITY SF SITE 5TH FIVE YEAR REVIEW-NEW TASK ORDER FUNDING-CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,125,EPW06004,69381812,"$38,736.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/8/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
ODESSA CHROMIUM I 4TH FIVE YEAR REIEW UNDER CONTRACT NO. EP-W-06-004-NEW TASK ORDER FUNDING",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,126,EPW06004,69381812,"$40,157.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/21/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
JONES ROAD SF SITE RI/FS SUPPLEMENTAL-CONTRACT NO. EP-W-06-004-NEW TASK ORDER FUNDING",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,127,EPW06004,69381812,"$350,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/21/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
OUACHITA NEVADA WOOD TREATERS LTRA",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,132,EPW06004,69381812,"$376,467.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/24/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
SANDY BEACH REMEDIAL ACTION ISSUE AND FULLY FUND RA TASK ORDER",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,114,EPW06004,69381812,"$2,200,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/24/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
WILCOX OIL CO RI/FS NEW TASK ORDER FUNDING-CONTRACT NO. EP-W-06-004",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,128,EPW06004,69381812,"$150,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"GARLAND CREOSOTING SF SITE LONG TERM REMEDIAL ACTION (LTRA) INCREMENTAL FUNDING FOR NEW TASK ORDER UNDER CONTRACT NO. EP-W-06-004-EA ENGINEERING, SCIENCE&TECHNOLOGY,INC.",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,85,EPW06004,69381812,"$263,592.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
JONES ROAD PLUME RA",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,129,EPW06004,69381812,"$438,970.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
SAN JACINTO RI/FS",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,130,EPW06004,69381812,"$200,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,WEST COUNTY RD 112 GW PLUME RI/FS-,EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,EPG10600065,EPW06004,69381812,"$47,516.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/28/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
ADMINISTRATIVE MODIFICATION",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,131,EPW06004,69381812,"$200,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/28/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,STATE ROAD 114 LONG TERM REMEDIAL ACTION,EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,73,EPW06004,69381812,"$1,006,509.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,LEWISVILLE,TX,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
ADMINISTRATIVE MODIFICATION",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,131,EPW06004,69381812,"$83,193.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,11/20/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE OPTION PERIOD FUNDS FOR THE FOLLOWING WORK ASSIGNMENTS: 126-RSBD-05ZZ - MULTI-GAS SITE; 128-RSBD-05ZZ - MULTI-GAS SITE; 191-RXBF-B5CJ STEVENS POINT SITE.,CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$70,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,2/23/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,THE PRIOR YEAR FUNDS ARE BEING ADDED FOR COST-RATE ADJUSTMENTS.,CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$48,092.85 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,4/6/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,THE PRIOR YEAR FUNDS ARE BEING ADDED FOR COST-RATE ADJUSTMENTS.,CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$48,092.85 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,5/8/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE OPTION PERIOD FUNDS FOR THE FOLLOWING WORK ASSIGNMENTS: 

1)OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT (WA) 126-RSBD-05ZZ NORTH SHORE GAS SITES IN THE AMOUNT OF $35,000.00; 
2)OBLIGATE OPTION PERIOD FUNDS FOR WA 159-RSBD-B5AJ ASARCO SITE IN THE AMOUNT OF $157,462.00;
3)DEOBLIGATE OPTION PERIOD FUNDS FOR WA 159-RSBD-B5AJ ASARCO WHICH WERE INCORRECTLY CODED AS TR2 FUNDS IN THE AMOUNT OF $157,462.00.  THESE FUNDS ARE REPLACED IN THIS MODIFICATION WITH THE CORRECTED LINE OF ACCOUNTING.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$35,000.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,5/22/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO:
1.	REALLOCATE $1,000,000.00 FROM WORK ASSIGNMENT 149-RARA-0528 (OMC WAUKEGAN PLANT 2 OU4 BIOREMEDIATION) TO WORK ASSIGNMENT 137-RARA-0528 (OMC WAUKEGAN HARBOR).
2.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 137-RARA-0528 (OMC WAUKEGAN HARBOR) IN THE AMOUNT OF $2,444,716.00.
3.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 194-RARA-B54T (HEGELER ZINC) IN THE AMOUNT OF $2,950,000.00.


ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$5,194,716.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,6/15/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO:
1.	DEOBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 152-CRCR-05ZZ LINCOLN PARK IN THE AMOUNT OF $9,378.63;

2.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 152-CRCR-05ZZ LINCOLN PARK IN THE AMOUNT OF $9,378.63;

3.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 187-RDRD-08KS (CRYSTAL MINE) IN THE AMOUNT OF $260,052; 

4.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 188-RDRD-08KS (BULLION MINE) IN THE AMOUNT OF $139,948; 

5.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 183-RARA-05BW (CONTINENTAL STEEL) IN THE AMOUNT OF $88,620;

6.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 194-RDRD-B54T (HEGELER ZINC) IN THE AMOUNT OF $50,000; AND

7.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 177-VOBB-B5FH (BEHR DAYTON) IN THE AMOUNT OF $90,000.

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$629,140.60 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,7/15/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO:
1.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 189-RICO-B57N (PIKE AND MULBERRY SITE) IN THE AMOUNT OF $120,610;

2.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 129-RSBD-05ZZ (WISCONSIN MGP SITE) IN THE AMOUNT OF $22,745; 

3.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 188-RDRD-08K5 (BULLION MINE) IN THE AMOUNT OF $148,585; 


ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$291,940.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,9/22/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO:

1.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 183-RARA-05BW (CONTINENTAL STEEL SITE) IN THE AMOUNT OF $46,652.00;

2.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 169-RARA-0532 (VELSICOL CHEMICAL SITE) IN THE AMOUNT OF $250,000.00; 

3.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 128-RSBD-05ZZ (MULTI-SITE IL GAS PLANTS) IN THE AMOUNT OF $25,000.00; 

4.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 196-RSBD-B5HB (CHEMTCO SITE) IN THE AMOUNT OF $50,000.00

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$371,652.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,MILWAUKEE,WI,UNITED STATES,9/26/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"THE PURPOSE OF THIS MODIFICATION IS TO:

THIS DOCUMENT DETAILS THE ACTION TO MODIFY THE SUBJECT CONTRACT. THE PURPOSE OF THIS MODIFICATION IS TO:

1.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 185-RARA-05BP (TEN-MILE DRAIN SITE) IN THE AMOUNT OF $1,000,000.00;

2.	OBLIGATE OPTION PERIOD FUNDS FOR WORK ASSIGNMENT 183-RARA-05BW (CONTINENTAL STEEL) IN THE AMOUNT OF $496,764.00; 

3.	OBLIGATE OPTION PERIOD PIPELINE FUNDS IN THE AMOUNT OF $342,213.00; 

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",CH2M HILL COMPANIES LIMITED (8189),EPS50601,,63248207,"$1,838,977.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,CA,UNITED STATES,5/18/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"IGF::OT::IGF - A&E ENVIRONMENTAL SERVICES, MONTROSE.","CH2M HILL, INC.",63,EPW06021,40794732,"$240,693.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,WA,UNITED STATES,2/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
FORMOSA MINE SITE.  THIS TASK ORDER IS A CONTRACT CROSSOVER FROM REGION 6 TO REGION 10.",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,105,EPW06004,69381812,"$227,088.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,WA,UNITED STATES,4/9/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIXED PRICE AWARD FEE,"IGF::OT::IGF
NORTH RIDGE ESTATES RD SITE IN KLAMATH COUNTY, OR.  THIS TASK ORDER IS A CONTRACT CROSSOVER FROM REGION 6 TO REGION 10.",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,101,EPW06004,69381812,"$43,103.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,WA,UNITED STATES,7/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
FORMOSA MINE SITE.  THIS TASK ORDER IS A CONTRACT CROSSOVER FROM REGION 6 TO REGION 10.",EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,105,EPW06004,69381812,"$44,516.00 "
C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,WA,UNITED STATES,8/27/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIXED PRICE AWARD FEE,IGF::OT::IGF,EA ENGINEERING SCIENCE AND TECHNOLOGY INCORPORATED,103,EPW06004,69381812,"$466,548.00 "
